"exp_min$SITE","exp_min$TREATMENT","exp_min$SITECODE","AV"
"DALTON",2,"57_2",43.75
"DALTON",2,"57_2",43.75
"DALTON",2,"8_2",42.5
"DALTON",2,"8_2",42.5
"DALTON",2,"8_2",42.5
"DALTON",2,"8_2",42.5
"DALTON",2,"8_2",42.5
"DALTON",2,"8_2",42.5
"DALTON",2,"8_2",42.5
"DALTON",2,"8_2",42.5
"DALTON",2,"8_2",42.5
"DALTON",2,"8_2",42.5
"DALTON",3,"14_3",0
"DALTON",3,"14_3",0
"DALTON",3,"14_3",0
"DALTON",3,"14_3",0
"DALTON",3,"14_3",0
"DALTON",3,"14_3",0
"DALTON",3,"14_3",0
"DALTON",3,"14_3",0
"DALTON",3,"14_3",0
"DALTON",3,"14_3",0
"DALTON",3,"15_3",10
"DALTON",3,"15_3",10
"DALTON",3,"15_3",10
"DALTON",3,"15_3",10
"DALTON",3,"15_3",10
"DALTON",3,"15_3",10
"DALTON",3,"15_3",10
"DALTON",3,"15_3",10
"DALTON",3,"15_3",10
"DALTON",3,"15_3",10
"DALTON",3,"37_3",38.75
"DALTON",3,"37_3",38.75
"DALTON",3,"37_3",38.75
"DALTON",3,"37_3",38.75
"DALTON",3,"37_3",38.75
"DALTON",3,"37_3",38.75
"DALTON",3,"37_3",38.75
"DALTON",3,"37_3",38.75
"DALTON",3,"37_3",38.75
"DALTON",3,"37_3",38.75
"DALTON",3,"54_3",67.5
"DALTON",3,"54_3",67.5
"DALTON",3,"54_3",67.5
"DALTON",3,"54_3",67.5
"DALTON",3,"54_3",67.5
"DALTON",3,"54_3",67.5
"DALTON",3,"54_3",67.5
"DALTON",3,"54_3",67.5
"DALTON",3,"54_3",67.5
"DALTON",3,"54_3",67.5
"DALTON",3,"55_3",50
"DALTON",3,"55_3",50
"DALTON",3,"55_3",50
"DALTON",3,"55_3",50
"DALTON",3,"55_3",50
"DALTON",3,"55_3",50
"DALTON",3,"55_3",50
"DALTON",3,"55_3",50
"DALTON",3,"55_3",50
"DALTON",3,"55_3",50
"DALTON",3,"7_3",32.5
"DALTON",3,"7_3",32.5
"DALTON",3,"7_3",32.5
"DALTON",3,"7_3",32.5
"DALTON",3,"7_3",32.5
