"OL_depth$SITE","OL_depth$TREATMENT","OL_depth$SITE.CODE","AV"
"DALTON",2,"16_2",3.2
"DALTON",2,"16_2",3.2
"DALTON",2,"16_2",3.2
"DALTON",2,"16_2",3.2
"DALTON",2,"16_2",3.2
"DALTON",2,"16_2",3.2
"DALTON",2,"16_2",3.2
"DALTON",2,"16_2",3.2
"DALTON",2,"32_2",1.62
"DALTON",2,"32_2",1.62
"DALTON",2,"32_2",1.62
"DALTON",2,"32_2",1.62
"DALTON",2,"32_2",1.62
"DALTON",2,"32_2",1.62
"DALTON",2,"32_2",1.62
"DALTON",2,"32_2",1.62
"DALTON",2,"32_2",1.62
"DALTON",2,"32_2",1.62
"DALTON",2,"32_2",1.62
"DALTON",2,"32_2",1.62
"DALTON",2,"32_2",1.62
"DALTON",2,"32_2",1.62
"DALTON",2,"39_2",7.3
"DALTON",2,"39_2",7.3
"DALTON",2,"39_2",7.3
"DALTON",2,"39_2",7.3
"DALTON",2,"39_2",7.3
"DALTON",2,"39_2",7.3
"DALTON",2,"39_2",7.3
"DALTON",2,"39_2",7.3
"DALTON",2,"39_2",7.3
"DALTON",2,"39_2",7.3
"DALTON",2,"39_2",7.3
"DALTON",2,"39_2",7.3
"DALTON",2,"39_2",7.3
"DALTON",2,"39_2",7.3
"DALTON",2,"40_2",2
"DALTON",2,"40_2",2
"DALTON",2,"40_2",2
"DALTON",2,"40_2",2
"DALTON",2,"40_2",2
"DALTON",2,"40_2",2
"DALTON",2,"40_2",2
"DALTON",2,"40_2",2
"DALTON",2,"40_2",2
"DALTON",2,"40_2",2
"DALTON",2,"40_2",2
"DALTON",2,"40_2",2
"DALTON",2,"40_2",2
"DALTON",2,"40_2",2
"DALTON",2,"47_2",4.8
"DALTON",2,"47_2",4.8
"DALTON",2,"47_2",4.8
"DALTON",2,"47_2",4.8
"DALTON",2,"47_2",4.8
"DALTON",2,"47_2",4.8
"DALTON",2,"47_2",4.8
"DALTON",2,"47_2",4.8
"DALTON",2,"47_2",4.8
"DALTON",2,"47_2",4.8
"DALTON",2,"47_2",4.8
"DALTON",2,"47_2",4.8
"DALTON",2,"47_2",4.8
"DALTON",2,"47_2",4.8
"DALTON",2,"56_2",3.3
"DALTON",2,"56_2",3.3
"DALTON",2,"56_2",3.3
"DALTON",2,"56_2",3.3
"DALTON",2,"56_2",3.3
"DALTON",2,"56_2",3.3
"DALTON",2,"56_2",3.3
"DALTON",2,"56_2",3.3
"DALTON",2,"56_2",3.3
"DALTON",2,"56_2",3.3
"DALTON",2,"56_2",3.3
"DALTON",2,"56_2",3.3
"DALTON",2,"56_2",3.3
"DALTON",2,"56_2",3.3
"DALTON",2,"57_2",0.9
"DALTON",2,"57_2",0.9
"DALTON",2,"57_2",0.9
"DALTON",2,"57_2",0.9
"DALTON",2,"57_2",0.9
"DALTON",2,"57_2",0.9
"DALTON",2,"57_2",0.9
"DALTON",2,"57_2",0.9
"DALTON",2,"57_2",0.9
"DALTON",2,"57_2",0.9
"DALTON",2,"57_2",0.9
"DALTON",2,"57_2",0.9
"DALTON",2,"57_2",0.9
"DALTON",2,"57_2",0.9
"DALTON",2,"8_2",1.4
"DALTON",2,"8_2",1.4
"DALTON",2,"8_2",1.4
"DALTON",2,"8_2",1.4
"DALTON",2,"8_2",1.4
"DALTON",2,"8_2",1.4
"DALTON",2,"8_2",1.4
"DALTON",2,"8_2",1.4
"DALTON",2,"8_2",1.4
"DALTON",2,"8_2",1.4
"DALTON",2,"8_2",1.4
"DALTON",2,"8_2",1.4
"DALTON",2,"8_2",1.4
"DALTON",2,"8_2",1.4
"DALTON",3,"14_3",0.875
"DALTON",3,"14_3",0.875
"DALTON",3,"14_3",0.875
"DALTON",3,"14_3",0.875
"DALTON",3,"14_3",0.875
"DALTON",3,"14_3",0.875
"DALTON",3,"14_3",0.875
"DALTON",3,"14_3",0.875
"DALTON",3,"14_3",0.875
"DALTON",3,"14_3",0.875
"DALTON",3,"14_3",0.875
"DALTON",3,"14_3",0.875
"DALTON",3,"14_3",0.875
"DALTON",3,"14_3",0.875
"DALTON",3,"15_3",2.97
"DALTON",3,"15_3",2.97
"DALTON",3,"15_3",2.97
"DALTON",3,"15_3",2.97
"DALTON",3,"15_3",2.97
"DALTON",3,"15_3",2.97
"DALTON",3,"15_3",2.97
"DALTON",3,"15_3",2.97
"DALTON",3,"15_3",2.97
"DALTON",3,"15_3",2.97
