"SITE","TREAT","PLOT","DIV","SPP","BA_SUM"
"DALTON",0,"10_0","c","PIME",28.7218930257202
"DALTON",0,"10_0","d","BENE",3.56586474145709
"DALTON",0,"10_0","d","SALIX",0.0453960138443725
"DALTON",0,"11_0","c","PIME",22.1188935864051
"DALTON",0,"11_0","d","BENE",0.492601728082879
"DALTON",0,"11_0","d","SALIX",0.507485023279261
"DALTON",0,"44_0","c","PIME",34.3842603546422
"DALTON",0,"44_0","d","BENE",0.967689077121996
"DALTON",0,"44_0","d","SALIX",1.22113706445035
"DALTON",0,"58_0","c","PIME",32.9353970927148
"DALTON",0,"58_0","d","BENE",3.84397423111613
"DALTON",0,"58_0","d","SALIX",0.326921985514188
"DALTON",1,"12_1","d","ALCR",0.124485608898496
"DALTON",1,"12_1","d","BENE",0.167289808803656
"DALTON",1,"12_1","d","SALIX",0.0510508806208341
"DALTON",1,"28_1","d","BENE",0.0516791991515521
"DALTON",1,"28_1","d","SALIX",0.00259181393921158
"DALTON",1,"41_1","d","BENE",0.061261056745001
"DALTON",1,"41_1","d","SALIX",0.035382187261055
"DALTON",1,"42_1","c","PIME",0.00141371669411541
"DALTON",1,"42_1","d","ALCR",0.0460243323750905
"DALTON",1,"42_1","d","BENE",0.0479485578754142
"DALTON",1,"48_1","c","PIME",0.0038484510006475
"DALTON",1,"48_1","d","BENE",1.00083287961737
"DALTON",1,"48_1","d","POTR",0.000706858347057704
"DALTON",1,"48_1","d","SALIX",0.209544229994439
"DALTON",1,"5_1","d","ALCR",0.0489695754878309
"DALTON",1,"5_1","d","ARCTO",0.00510508806208341
"DALTON",1,"5_1","d","BENE",0.107246119211922
"DALTON",1,"50_1","d","ALCR",0.195171443604266
"DALTON",1,"50_1","d","BENE",0.049872783375738
"DALTON",1,"50_1","d","SALIX",0.0502654824574367
"DALTON",1,"52_1","d","ALCR",0.0479485578754142
"DALTON",1,"52_1","d","SALIX",0.000353429173528852
"DALTON",1,"64_1","c","PIME",0.0402123859659494
"DALTON",1,"64_1","d","ALCR",0.252741128981299
"DALTON",1,"64_1","d","BENE",0.0591404817038279
"DALTON",1,"64_1","d","SALIX",0.00420188017417635
"DALTON",1,"65_1","c","PIME",0.197959607084327
"DALTON",1,"65_1","d","ALCR",0.162773769364121
"DALTON",1,"65_1","d","BENE",0.00192422550032375
"DALTON",1,"65_1","d","SALIX",0.0136266581349457
"DALTON",2,"16_2","d","BENE",0.820505461301314
"DALTON",2,"16_2","d","POTR",0.0914596161276328
"DALTON",2,"16_2","d","SALIX",0.359280389846163
"DALTON",2,"32_2","d","BENE",2.8432198913151
"DALTON",2,"32_2","d","POTR",0.0617322956430394
"DALTON",2,"32_2","d","SALIX",0.217712370893773
"DALTON",2,"39_2","d","ALCR",0.175732839060179
"DALTON",2,"39_2","d","BENE",0.58488601228208
"DALTON",2,"39_2","d","SALIX",0.0540746635499143
"DALTON",2,"40_2","d","BENE",1.93243291113125
"DALTON",2,"40_2","d","POTR",0.0156294234516092
"DALTON",2,"40_2","d","SALIX",0.515888783627614
"DALTON",2,"47_2","d","ALCR",1.19034945644517
"DALTON",2,"47_2","d","BENE",0.813947386636946
"DALTON",2,"47_2","d","SALIX",0.0370315234041897
"DALTON",2,"56_2","d","ALCR",0.0980962306083413
"DALTON",2,"56_2","d","BENE",1.05282623803428
"DALTON",2,"56_2","d","SALIX",0.207188035504247
"DALTON",2,"57_2","d","ALCR",0.195642682502304
"DALTON",2,"57_2","d","BENE",2.98302076439985
"DALTON",2,"57_2","d","SALIX",0.206795336422548
"DALTON",2,"8_2","c","PIME",0.00769690200129499
"DALTON",2,"8_2","d","ALCR",0.544438006867111
"DALTON",2,"8_2","d","BENE",0.53866533036614
"DALTON",2,"8_2","d","SALIX",1.19058507589419
"DALTON",3,"14_3","d","ALCR",0.277991679934527
"DALTON",3,"14_3","d","BENE",0.200433611299029
"DALTON",3,"14_3","d","SALIX",0.143531514360884
"DALTON",3,"15_3","d","BENE",6.16576828175167
"DALTON",3,"15_3","d","SALIX",0.441786466911065
"DALTON",3,"37_3","d","ALCR",0.302456832724357
"DALTON",3,"37_3","d","BENE",0.385866117677166
"DALTON",3,"37_3","d","SALIX",0.78795070742849
"DALTON",3,"54_3","d","BENE",1.81552639450954
"DALTON",3,"54_3","d","POTR",0.041861722109084
"DALTON",3,"54_3","d","SALIX",0.240803076897658
"DALTON",3,"55_3","d","ALCR",0.266210707483565
"DALTON",3,"55_3","d","BENE",2.06076697103039
"DALTON",3,"55_3","d","SALIX",0.603499948754599
"DALTON",3,"7_3","d","ALCR",1.32810829430509
"DALTON",3,"7_3","d","BENE",3.18636034890345
"DALTON",3,"7_3","d","SALIX",1.41214589778861
"STEESE",0,"1_0","c","PIME",15.8579152865092
"STEESE",0,"1_0","d","SALIX",0.057202524007491
"STEESE",0,"31_0","c","PIME",11.6666922904586
"STEESE",0,"6_0","c","PIME",16.9240661142496
"STEESE",0,"6_0","d","SALIX",0.209066318279973
"STEESE",0,"9_0","c","PIME",21.9858805292194
"STEESE",0,"9_0","d","SALIX",0.067742435437937
"STEESE",1,"18_1","d","BENE",0.137209059145534
"STEESE",1,"18_1","d","POTR",0.0132732289614169
"STEESE",1,"18_1","d","SALIX",0.00141371669411541
"STEESE",1,"20_1","d","SALIX",0.291579068161303
"STEESE",1,"28_1","d","BENE",0.0516791991515521
"STEESE",1,"28_1","d","SALIX",0.00259181393921158
"STEESE",1,"29_1","d","BENE",0.210800867055875
"STEESE",1,"29_1","d","SALIX",0.00659734457253856
"STEESE",1,"33_1","c","PIME",1.74719675429396
"STEESE",1,"33_1","d","ALCR",0.0825453469730718
"STEESE",1,"33_1","d","BENE",0.00196349540849362
"STEESE",1,"33_1","d","SALIX",0.00785398163397448
"STEESE",1,"36_1","c","PIME",0.00459457925587507
